epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,382.711,1.11362,4.93128,1.63273,0.35135,0.12317,0.0456,0.03171,1.07828,3.43679,1.79899,0.00998617,0.00332872,0.00998617,0.00332872,0.00998617,0.00332872,0.00998617,0.00332872
2,904.881,0.9558,3.46429,1.4406,0.27206,0.28183,0.17432,0.12243,1.0112,2.79467,1.74144,0.019984,0.00666133,0.019984,0.00666133,0.019984,0.00666133,0.019984,0.00666133
3,1261.06,0.95059,3.0969,1.42459,0.23012,0.27058,0.15462,0.10988,1.02507,2.99794,1.81044,0.0299731,0.00999105,0.0299731,0.00999105,0.0299731,0.00999105,0.0299731,0.00999105
4,1702.79,0.94875,2.89417,1.41531,0.29567,0.35374,0.26033,0.18872,0.96559,2.49738,1.66452,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,2042.82,0.90683,2.50657,1.38077,0.3868,0.39834,0.354,0.26223,0.95572,2.1091,1.65429,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,2521.93,0.887,2.28279,1.3702,0.42387,0.41354,0.38544,0.28655,0.92566,2.03611,1.61443,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,2860.71,0.86505,2.13723,1.35318,0.4649,0.46586,0.45641,0.34062,0.89662,1.83755,1.57789,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,3354.96,0.85253,2.01267,1.34375,0.50571,0.48334,0.49482,0.37185,0.90242,1.74661,1.58095,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,3689.85,0.83757,1.92054,1.33253,0.52076,0.51371,0.52618,0.39727,0.88328,1.61254,1.55303,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,4133.68,0.83225,1.83849,1.32734,0.53407,0.52891,0.549,0.41516,0.88323,1.56295,1.54847,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,4468.31,0.81613,1.77069,1.3168,0.53444,0.52598,0.544,0.41349,0.871,1.58177,1.55186,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,4977.83,0.80975,1.70325,1.31127,0.58733,0.5458,0.59306,0.45302,0.85724,1.46032,1.53961,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,5317.42,0.79942,1.64819,1.30253,0.60927,0.58101,0.6191,0.4716,0.86176,1.38351,1.53537,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,5820.15,0.79512,1.59781,1.29957,0.62694,0.57975,0.63384,0.4865,0.85418,1.34437,1.5359,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,6156.08,0.788,1.54633,1.29643,0.63398,0.60083,0.64241,0.49271,0.84325,1.30838,1.5232,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
