epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,335.398,0.71319,2.26527,3.97078,0.01095,2.6506,0.49968,0.17779,0.17213,0.13846,0.4925,0.17216,0.16482,0.12473,0.72618,1.91771,2.2549,0.01935,0,0.00998336,0.00332779,0.00998336,0.00332779,0.00998336,0.00332779,0.00998336,0.00332779
2,611.939,0.74181,1.87507,2.38875,0.0115,0.4514,0.40976,0.28413,0.25593,0.19741,0.41365,0.26058,0.23301,0.17273,0.83635,1.86227,1.9579,0.02291,0,0.0198515,0.00661716,0.0198515,0.00661716,0.0198515,0.00661716,0.0198515,0.00661716
3,867.062,0.83042,1.89647,2.17467,0.01311,0.41805,0.48134,0.27331,0.25655,0.19208,0.49016,0.24888,0.23469,0.16689,0.91573,1.98779,2.01581,0.02465,0,0.0295876,0.00986253,0.0295876,0.00986253,0.0295876,0.00986253,0.0295876,0.00986253
4,1121.38,0.89162,1.94086,2.14639,0.01405,0.41721,0.46813,0.28493,0.28039,0.20919,0.45193,0.26854,0.25394,0.18078,0.93852,1.85373,1.94754,0.02542,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1376.45,0.87686,1.85834,2.0182,0.01379,0.40301,0.46819,0.31003,0.2996,0.22883,0.458,0.29449,0.27568,0.20135,0.89125,1.77797,1.8417,0.02373,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1630.53,0.85444,1.80517,1.92522,0.0133,0.39145,0.52753,0.30523,0.31015,0.23563,0.58923,0.25697,0.28522,0.20877,0.88293,1.71196,1.78566,0.02401,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1884.76,0.83535,1.76181,1.84624,0.01294,0.37836,0.46621,0.35824,0.34864,0.266,0.46755,0.32156,0.31935,0.23456,0.84667,1.72125,1.73157,0.0226,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2138.74,0.82456,1.72458,1.78867,0.01279,0.37098,0.46223,0.3642,0.35396,0.2734,0.44621,0.33358,0.31064,0.22985,0.83837,1.62408,1.66904,0.02224,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2393.09,0.80865,1.67913,1.71882,0.01236,0.3647,0.48269,0.33835,0.35612,0.27765,0.46193,0.31245,0.31901,0.24111,0.81969,1.64598,1.68904,0.0217,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2647.08,0.79751,1.66181,1.67926,0.01217,0.35302,0.52315,0.34686,0.37215,0.28928,0.59396,0.29298,0.33858,0.2487,0.81357,1.58201,1.6372,0.02159,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
